Sample,pH
DVS-2406106,6.8
DVS-2406109,6.6
DVS-2406112,6.7
DVS-2406115,6
DVS-2406118,6.4
DVS-2406119,6.2
DVS-2406121,6.2
DVS-2406123,6.5
DVS-2406125,6.1
DVS-2406127,6.4
DVS-2406130,5.8
DVS-2406133,6.6
DVS-2406136,6.7
DVS-2406138,5.8
DVS-2406141,6.4
DVS-2406143,6.6
DVS-2406147,6.7
DVS-2406150,5.8
DVS-2406153,6.2
DVS-2406156,6
DVS-2406159,5.8
DVS-2406161,6.1
DVS-2406165,5.5
DVS-2406168,6.2
DVS-2407002,6.3
DVS-2407003,5.6
DVS-2407007,5.7
DVS-2407009,6
DVS-2407012,5
DVS-2407015,6
DVS-2407018,5.7
DVS-2407021,6
DVS-2407024,5.8
DVS-2407027,5.5
DVS-2407030,6.1
DVS-2407033,5.6
DVS-2407036,6
DVS-2407039,6.5
DVS-2407042,6.5
DVS-2407045,6.8
DVS-2407048,6
DVS-2407051,6.5
DVS-2407054,7.9
DVS-2407057,8
DVS-2407059,7.9
DVS-2407062,5.2
DVS-2407065,6.1
DVS-2407068,6.2
DVS-2407089,4.1
DVS-2407087,6.4
DVS-2407085,5.6
DVS-2407098,5.7
DVS-2407099,5.8
DVS-2407084,5.7
DVS-2407094,5.7
DVS-2407075,5.4
DVS-2407074,5.8
DVS-2407077,6.2
DVS-2407080,4.4
DVS-2407102,4.3
DVS-2407106,4.8
DVS-2407108,6
AB 003,7.4
DVS 2311034,6.8
DVS 2311055,6.6
DVS 2311068,6.8
DVS 2311077,7.7
BRK 2403 013,6.2
BRK 2403 020,7.5
DVS 2311083,7.8
DVS 2311086,7.6
DVS 2311088,7.7
DVS 2311091,8
DVS 2311094,8
DVS 2311096,7.6
DVS 2311099,7.7
DVS 2311100,7.8
DVS 2311104,7.9
DVS 2311106,7.8
DVS 2311109,5.7
DVS 2311112,7.5
DVS 2311115,6.8
DVS 2311118,7.9
DVS 2311121,7.2
DVS 2311142,7.6
LA 005,8.2
LA 008,7.8
LA 011,8
LA 014,7.8
20230524 132157 CDK,7
20230525 135110 JEW,6.8
DVS 004,5.5
ARC 001,4.6
ARC 004,4.9
KMR EHA 6/21/2023 Arnold,7.3
DVS 005,7.1
BRK 003,7
SAN A255,6.9
SAN A256,7.2
SAN A257,6.5
SAN A258,6.7
ARC 007,3.6
AB 005,6.4
DVS 2311010,6
DVS 2311014,4.9
DVS 2311041,6.4
DVS 2311044,7.5
DVS 2311050,6
LSG 001,7.4
LSG 002,7
HF 001,6.3
HF 002,7.2
BRK 2403 038,5.6
BRK 2403 045,4
BRK 2403 053,8.1
BRK 2403 054,3.7
BRK 2403 055,8.1
BRK 2403 061,7
20230601 134026 CDK,5.2
DVS 001,5.5
BRK 001,4.9
ARC 010,6.3
BRK 009,5.4
BRK 1123029,5.8
DVS 2311003,4.7
DVS 2311007,5.5
DVS 2311018,5.4
DVS 2311022,5.8
DVS 2311024,5.8
DVS 2311025,6
DVS 2311030,6.6
DVS 2311036,7
DVS 2311053,6.4
DVS 2311061,5.7
DVS 2311066,6.3
DVS 2311072,5.8
DVS 2311081,6.1
BRK 2403 002,4.9
BRK 2403 006,7.7
BRK 2403 017,6.6
BRK 2403 027,7.4
BRK 2403 033,7.1
BRK 2403 049,7.9
LSG 003,7.5
DVS 2311124,6.5
DVS 2311127,8.2
DVS 2311130,7.4
DVS 2311133,7.7
DVS 2311136,7.4
DVS 2311139,7.8
DVS 2311145,6.9
DVS 2311150,6.6
LA 002,7.9
LA 020,8.4
LA 023,7.9
LA 026,7.5
DVS 2406002,6
DVS 2406005,6
DVS 2406008,6.2
DVS 2406010,6.7
DVS 2406012,6.7
DVS 2406014,6.4
DVS 2406019,6.6
DVS 2406021,6.2
DVS 2406023,6.7
DVS 2406026,6.8
DVS 2406029,6.5
DVS 2406052,6.3
DVS 2406055,6.1
DVS 2406058,4.8
DVS 2406061,6
DVS 2406064,6
DVS 2406066,6
DVS 2406068,5.8
DVS 2406072,5.4
DVS 2406074,7
DVS 2406077,4.9
DVS 2406080,4.9
DVS 2406083,4.9
DVS 2406086,5.1
DVS 2406089,7.6
DVS 2406092,7.1
DVS 2406094,5.2
DVS 2406097,4.9
DVS 24060100,7.2
DVS 24060103,7.6
DVS-2407110,0.25
DVS-2406179,0.4
DVS-2406177,0.37
DVS-2406176,1.36
DVS-2406174,0.37
DVS-2406172,2.34
DVS-2407119,0.53
DVS-2407116,0.34
DVS-2407114,0.3
DVS-2407111,0.27
DVS-2407129,0.26
DVS-2407126,0.17
DVS-2407123,0.15
DVS-2407122,0.21
DVS-2407137,0.29
DVS-2407135,0.18
DVS-2407134,0.43
DVS-2407132,0.21
LA-030,0.19
